symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
BRKM5,GGBR3,BRASKEM,GERDAU,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Steel,Within-sector,False,0.3688903530110216,5580,initial macro-sector classification
BBAS3,ITSA3,BANCO DO BRASIL,ITAUSA,Financials,Financials,Banks,Financial Services,Banks,Holdings,Within-sector,False,0.3679140891279779,5709,initial macro-sector classification
POMO4,RENT3,MARCOPOLO,LOCALIZA,Industrials,Industrials,Transportation Equipment,Transportation,Commercial Vehicles,Rent a Car,Within-sector,False,0.3666643469894154,5106,initial macro-sector classification
BRAP4,KLBN4,BRADESPAR,KLABIN,Basic Materials,Basic Materials,Mining,Paper and Cellulose,Holdings,Paper and Cellulose,Within-sector,False,0.3652631115937561,5949,initial macro-sector classification
BRKM5,GOAU3,BRASKEM,METALURGICA GERDAU,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Holdings,Within-sector,False,0.3642978975651822,5354,initial macro-sector classification
CPFE3,TRPL4,CPFL ENERGIA,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Transmission,Within-sector,True,0.3582202491924744,4986,initial macro-sector classification
GGBR3,KLBN4,GERDAU,KLABIN,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,Steel,Paper and Cellulose,Within-sector,False,0.3562652418267868,5652,initial macro-sector classification
USIM3,VALE3,USIMINAS,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Steel,Minerals,Within-sector,False,0.351438855628072,5999,initial macro-sector classification
BRKM5,KLBN4,BRASKEM,KLABIN,Basic Materials,Basic Materials,Chemicals,Paper and Cellulose,Petrochemicals,Paper and Cellulose,Within-sector,False,0.3505772636931041,5783,initial macro-sector classification
BRAP3,USIM3,BRADESPAR,USIMINAS,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.3486747765132135,5772,initial macro-sector classification
FESA4,GGBR4,FERBASA,GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Metallurgy,Steel,Within-sector,True,0.3478432328493419,6057,initial macro-sector classification
BRAP4,BRKM5,BRADESPAR,BRASKEM,Basic Materials,Basic Materials,Mining,Chemicals,Holdings,Petrochemicals,Within-sector,False,0.3461295510530285,5783,initial macro-sector classification
SBSP3,TRPL4,SABESP,ISA CTEEP,Utilities,Utilities,Water and Sanitation,Electric Utility,Water and Sanitation,Transmission,Within-sector,False,0.3459007547201642,6274,initial macro-sector classification
KLBN4,USIM5,KLABIN,USIMINAS,Basic Materials,Basic Materials,Paper and Cellulose,Steel and Metallurgy,Paper and Cellulose,Steel,Within-sector,False,0.3448979022023558,5949,initial macro-sector classification
ALPA4,GUAR3,ALPARGATAS,GUARARAPES,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,Footwear,Apparel,Within-sector,False,0.3444684868709638,5654,initial macro-sector classification
CSNA3,KLBN4,CSN,KLABIN,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,Steel,Paper and Cellulose,Within-sector,False,0.3431463494859399,5949,initial macro-sector classification
TELB3,TELB4,TELEBRAS,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,Telecommunications,Telecommunications,Telecommunications,Within-sector,True,0.3429136172681471,5368,initial macro-sector classification
BRKM5,UNIP6,BRASKEM,UNIPAR,Basic Materials,Basic Materials,Chemicals,Chemicals,Petrochemicals,Chemicals,Within-sector,True,0.3427102292621952,5782,initial macro-sector classification
BRAP4,FESA4,BRADESPAR,FERBASA,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Metallurgy,Within-sector,False,0.3353472023392974,6149,initial macro-sector classification
